epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,241.729,0.54881,0.36485,0.99201,0.9648,0.94194,0.94103,0.67352,0.96056,0.53683,1.23827,0.00113889,0.00113889,0.00113889
98,244.177,0.57246,0.36844,0.9963,0.93425,0.94361,0.93781,0.6537,1.02322,0.56987,1.283,0.00113339,0.00113339,0.00113339
99,246.643,0.56932,0.39018,1.0081,0.94757,0.9477,0.9346,0.65611,1.03459,0.57988,1.29425,0.00112789,0.00112789,0.00112789
100,249.118,0.57912,0.39687,1.01909,0.93907,0.94918,0.9287,0.66559,0.95241,0.54469,1.2443,0.00112239,0.00112239,0.00112239
101,251.602,0.57491,0.37947,1.00565,0.93407,0.9386,0.93879,0.6656,0.95579,0.53619,1.26723,0.00111689,0.00111689,0.00111689
102,254.071,0.52853,0.36484,0.99389,0.90993,0.95071,0.93698,0.66861,0.94261,0.51103,1.24742,0.00111139,0.00111139,0.00111139
103,256.531,0.54572,0.36347,0.99886,0.75813,0.95656,0.92447,0.65735,0.92396,0.76033,1.21874,0.00110589,0.00110589,0.00110589
104,258.993,0.55805,0.37491,1.00845,0.90152,0.94194,0.9366,0.66911,0.92962,0.56063,1.23049,0.00110039,0.00110039,0.00110039
105,261.451,0.53171,0.35505,0.98983,0.94426,0.9365,0.94953,0.68197,0.94412,0.54766,1.25675,0.00109489,0.00109489,0.00109489
106,263.949,0.54953,0.35675,1.0102,0.92969,0.94194,0.95161,0.68016,0.91303,0.53058,1.20495,0.00108938,0.00108938,0.00108938
107,266.404,0.54133,0.35075,0.99131,0.90469,0.95763,0.95148,0.67183,0.93694,0.52455,1.21882,0.00108388,0.00108388,0.00108388
108,268.885,0.54998,0.35037,1.00237,0.89932,0.94277,0.94779,0.662,0.92771,0.52123,1.20633,0.00107838,0.00107838,0.00107838
109,271.34,0.55785,0.35371,0.99292,0.9409,0.93317,0.95526,0.69621,0.93698,0.47149,1.24698,0.00107288,0.00107288,0.00107288
110,273.811,0.57344,0.35704,1.01981,0.88677,0.95948,0.94411,0.6686,0.95952,0.52755,1.27649,0.00106738,0.00106738,0.00106738
111,276.296,0.54945,0.35028,1.00327,0.89744,0.94194,0.94386,0.65655,1.06104,0.62124,1.32804,0.00106188,0.00106188,0.00106188
112,278.75,0.53478,0.36159,0.99216,0.9059,0.95071,0.9453,0.66735,0.95891,0.5574,1.24299,0.00105638,0.00105638,0.00105638
113,281.219,0.54277,0.35747,0.98273,0.93931,0.94194,0.94954,0.67442,0.9469,0.52557,1.21002,0.00105088,0.00105088,0.00105088
114,283.675,0.55038,0.35598,1.00433,0.96102,0.93305,0.93536,0.67256,0.94041,0.49989,1.24228,0.00104538,0.00104538,0.00104538
115,286.127,0.54887,0.34911,0.99687,0.96604,0.95056,0.9379,0.68169,0.93788,0.50313,1.22778,0.00103987,0.00103987,0.00103987
116,288.59,0.53826,0.35021,1.00318,0.89907,0.94964,0.94729,0.68601,0.92281,0.49769,1.20197,0.00103437,0.00103437,0.00103437
117,291.041,0.54135,0.33378,0.98922,0.89305,0.95948,0.95549,0.65948,0.96886,0.52314,1.26834,0.00102887,0.00102887,0.00102887
118,293.503,0.54699,0.33342,0.9932,0.89378,0.94194,0.94686,0.66104,1.0043,0.53458,1.2998,0.00102337,0.00102337,0.00102337
119,295.97,0.54332,0.35367,1.00419,0.89831,0.95071,0.94002,0.65093,0.96537,0.50025,1.26188,0.00101787,0.00101787,0.00101787
120,298.459,0.52747,0.34352,0.99882,0.908,0.95948,0.94397,0.65093,0.96364,0.49822,1.23935,0.00101237,0.00101237,0.00101237
121,300.921,0.53473,0.34319,0.99202,0.92541,0.94859,0.9422,0.6641,0.94449,0.51006,1.20357,0.00100687,0.00100687,0.00100687
122,303.388,0.54408,0.34152,0.9816,0.93024,0.94039,0.94221,0.68037,0.92093,0.49029,1.19289,0.00100137,0.00100137,0.00100137
123,305.844,0.52815,0.33369,0.9893,0.90587,0.93097,0.92965,0.65844,0.96996,0.54047,1.24142,0.000995866,0.000995866,0.000995866
124,308.34,0.54721,0.34106,0.99873,0.9145,0.94194,0.94633,0.6718,0.91079,0.52819,1.17626,0.000990365,0.000990365,0.000990365
125,310.815,0.52835,0.34786,1.00189,0.91391,0.93317,0.92817,0.64881,0.97156,0.55697,1.24162,0.000984864,0.000984864,0.000984864
126,313.268,0.51917,0.3166,1.00268,0.92874,0.9406,0.94561,0.65235,0.93996,0.52158,1.20359,0.000979362,0.000979362,0.000979362
127,315.737,0.54218,0.34195,0.99125,0.96601,0.93487,0.95546,0.65338,0.95636,0.50572,1.23795,0.000973861,0.000973861,0.000973861
128,318.234,0.51353,0.31896,0.97986,0.94387,0.94945,0.95252,0.66406,0.90148,0.47719,1.19947,0.00096836,0.00096836,0.00096836
129,320.709,0.51448,0.32526,0.99612,0.93329,0.93709,0.94742,0.67026,0.92406,0.48504,1.21339,0.000962859,0.000962859,0.000962859
130,323.15,0.49877,0.32075,0.97951,0.92961,0.95071,0.95182,0.68506,0.94382,0.48692,1.21912,0.000957358,0.000957358,0.000957358
131,325.604,0.52438,0.33525,0.99474,0.93185,0.91562,0.944,0.67326,0.96631,0.4813,1.24338,0.000951857,0.000951857,0.000951857
132,328.064,0.54179,0.32266,0.99823,0.93303,0.95948,0.94829,0.68106,1.00675,0.53215,1.24492,0.000946356,0.000946356,0.000946356
133,330.551,0.51012,0.33085,0.97286,0.9431,0.94209,0.93969,0.67496,0.99091,0.52178,1.23692,0.000940855,0.000940855,0.000940855
134,333.016,0.52294,0.33218,0.98749,0.92727,0.95948,0.94615,0.68496,0.96449,0.50674,1.22719,0.000935354,0.000935354,0.000935354
135,335.485,0.49548,0.31935,0.9793,0.91344,0.94134,0.93718,0.66826,0.98091,0.52092,1.25617,0.000929853,0.000929853,0.000929853
136,337.942,0.49568,0.31628,0.9648,0.91025,0.95674,0.95075,0.69272,0.94012,0.48957,1.23197,0.000924352,0.000924352,0.000924352
137,340.409,0.49894,0.32785,0.97468,0.92115,0.92836,0.94107,0.68708,0.92956,0.51845,1.23056,0.00091885,0.00091885,0.00091885
138,342.892,0.50083,0.3282,0.97969,0.93703,0.93549,0.95449,0.70072,0.91539,0.48633,1.21834,0.000913349,0.000913349,0.000913349
139,345.369,0.49927,0.34108,0.97695,0.94069,0.95948,0.95772,0.69294,0.9118,0.4601,1.2327,0.000907848,0.000907848,0.000907848
140,347.823,0.49599,0.34246,0.97192,0.94878,0.95948,0.9553,0.6777,0.91939,0.44236,1.23585,0.000902347,0.000902347,0.000902347
141,350.279,0.49495,0.33629,0.96762,0.94603,0.95071,0.94498,0.67458,0.95596,0.46115,1.26772,0.000896846,0.000896846,0.000896846
142,352.772,0.48126,0.31386,0.9773,0.96411,0.94889,0.95134,0.67132,0.96624,0.47138,1.2746,0.000891345,0.000891345,0.000891345
143,355.25,0.49457,0.31712,0.96534,0.95028,0.95948,0.95111,0.68356,0.93607,0.45248,1.24635,0.000885844,0.000885844,0.000885844
144,357.734,0.49439,0.331,0.97065,0.93943,0.95948,0.95765,0.69129,0.89989,0.43492,1.20489,0.000880343,0.000880343,0.000880343
145,360.189,0.47854,0.31679,0.9669,0.94052,0.95948,0.95795,0.68811,0.93097,0.47748,1.23471,0.000874842,0.000874842,0.000874842
146,362.686,0.49636,0.32129,0.97479,0.93163,0.95712,0.96051,0.67687,0.94665,0.45434,1.26444,0.00086934,0.00086934,0.00086934
147,365.169,0.48199,0.31538,0.99106,0.92935,0.95948,0.95041,0.67851,0.9431,0.47618,1.25036,0.000863839,0.000863839,0.000863839
148,367.643,0.509,0.32087,0.97101,0.9115,0.94113,0.9521,0.68548,0.93048,0.48699,1.22513,0.000858338,0.000858338,0.000858338
149,370.096,0.45989,0.30312,0.97886,0.93348,0.93757,0.95521,0.6883,0.9077,0.4801,1.2115,0.000852837,0.000852837,0.000852837
150,372.575,0.47671,0.3103,0.95731,0.92742,0.94194,0.95134,0.68482,0.90698,0.48513,1.22353,0.000847336,0.000847336,0.000847336
151,375.124,0.46361,0.29802,0.95953,0.91039,0.95071,0.95203,0.67534,0.9151,0.49942,1.2299,0.000841835,0.000841835,0.000841835
152,377.628,0.47802,0.3123,0.97987,0.9053,0.95205,0.96044,0.69264,0.92423,0.5088,1.2276,0.000836334,0.000836334,0.000836334
153,380.11,0.45721,0.30353,0.96722,0.88369,0.92663,0.94976,0.68754,0.92743,0.52437,1.22487,0.000830833,0.000830833,0.000830833
154,382.575,0.48415,0.30599,0.96578,0.87098,0.95176,0.92972,0.67476,0.96472,0.53466,1.24186,0.000825332,0.000825332,0.000825332
155,385.075,0.48281,0.32025,0.9679,0.8552,0.95722,0.93719,0.66527,0.95198,0.52667,1.23859,0.000819831,0.000819831,0.000819831
156,387.567,0.4771,0.31518,0.9661,0.90371,0.94549,0.954,0.69258,0.91555,0.48958,1.21175,0.000814329,0.000814329,0.000814329
157,390.076,0.4703,0.30648,0.96961,0.89816,0.94007,0.94762,0.69203,0.91484,0.52478,1.20933,0.000808828,0.000808828,0.000808828
158,392.55,0.45784,0.29864,0.94412,0.86587,0.9494,0.94509,0.68635,0.90437,0.55195,1.19917,0.000803327,0.000803327,0.000803327
159,395.035,0.47333,0.31164,0.97426,0.88537,0.9403,0.94287,0.68532,0.91152,0.544,1.20841,0.000797826,0.000797826,0.000797826
160,397.496,0.47203,0.30725,0.97504,0.90159,0.95071,0.95499,0.67761,0.98422,0.54232,1.26119,0.000792325,0.000792325,0.000792325
161,399.976,0.47786,0.30804,0.95548,0.89722,0.95576,0.95612,0.69227,1.00836,0.54197,1.27833,0.000786824,0.000786824,0.000786824
162,402.444,0.46636,0.30411,0.9682,0.88905,0.95155,0.94075,0.6917,0.91013,0.48303,1.198,0.000781323,0.000781323,0.000781323
